Identifier	Filename	Japanese
f130783d-9414-480f-b233-13d0d7496e3d	LanguageString-resources.assets-35212.json	日本語(Unofficial)
66d2ebda-2fa2-41a2-af8a-b392e401321a	DarkEasyCarLongDescription-resources.assets-35213.json	アシスト運転機能を備えたテラの "Racing Artificial Intelligence"。そのレーシングAIが、ドライバーを育成するための最も安定したプラットフォームを提供する。
4b6f873f-4bc2-4526-a680-c17a4dcd707f	DarkExpertCarLongDescription-resources.assets-35214.json	さまざまなパーツを雑多に寄せ集めたこのカスタムビルドマシンは、もはやベース車両とはとても似つかぬものになっている。
05c58720-1c63-43e5-95e0-3aa080746426	DarkHardCarLongDescription-resources.assets-35215.json	品が無いと評する者が居たとしても、その優れた結果に議論の余地はない。強大なパワーがこの車をポピュラー・チョイスに押し上げているのだ。
ba5c8c6a-9cf4-410e-8c77-3cb2d3313923	DarkMediumCarLongDescription-resources.assets-35216.json	ハイグリップなスーパーカー。トラックデイにサーキットへと通う、アマチュアドライバーの間で人気を博している。
b01f1e03-540b-4a7f-a53d-1559a3d6b867	EasyCarLongDescription-resources.assets-35217.json	テラ・デザインの送るスポーティモデル・ダート。そのコンパクトなライトウェイトフレームは、クラス随一の反応性と扱いやすさを実現する。
181bb2da-b916-408b-a11a-0236e8ec852c	EasyCarShortDescription-resources.assets-35218.json	クイック・アンド・レスポンシヴ
5fac3038-c97c-468f-8906-a2dff6eb1ab2	ExpertCarLongDescription-resources.assets-35219.json	パワーと加速力の弱さにより評論家からの評価は低いコーダ・クロノ。だが驚異的なトップスピードを扱える熟練レーサーの間では熱狂的な支持を得ている。
3960c855-52cc-413b-b570-d718d1b56048	ExpertCarShortDescription-resources.assets-35220.json	エクスペリメンタル
931944a2-8f4e-4d7b-8983-d8e37fd29e83	HardCarLongDescription-resources.assets-35221.json	ドライブにもレースにも脅威をあらわにするHPEのハイパフォーマンスマシン、ドラゴン。繊細さと操縦性に欠ける一方、それらを補って余りあるパワーと最高速度を誇る。
ae3626f3-390a-4f67-a0bd-fea1b677a974	HardCarShortDescription-resources.assets-35222.json	マキシマム・パワー
3aca9693-a82f-42ad-9d10-a5110d076682	MediumCarLongDescription-resources.assets-35223.json	コーダで最もポピュラーなモデル・ゲッコーは、速度と操縦性を高いバランスで実現。優れた性能と素直で予測しやすいハンドリングによって、技を磨くレーサーへの完璧な選択肢を提供する。
5c571ae8-5f52-4ef0-98dd-e3dde3d4c623	MediumCarShortDescription-resources.assets-35224.json	パーフェクト・バランス
b1ba0da0-6b27-44c4-991e-1dac09ab0a67	T1ELongDescription-resources.assets-35225.json	アイコニックなデザインのロトン・ボバ。経済的なエントリーレベルのスポーツカーで、小回りのきくコーナリングとハンドリングによるスタイルドライビングに定評がある。
3245a4c9-98d1-4754-a86e-b9c7dd07ddad	T1ExLongDescription-resources.assets-35226.json	ロトンのストリートレーサー、7D。パワーとハンドリングのバランスによって高速域でも安定しているマシンだが、そのポテンシャルを引き出すにはあらゆる操作に精通したドライバーが必要である。
72a01ea4-b0e9-4147-9f38-6fa13fae8fb7	T1MLongDescription-resources.assets-35227.json	高速、そして俊敏。HPE・カタナのパワフルなエンジンと重量バランスは、高い旋回力とドリフティングポテンシャルを実現し、レーサーにかつてない操縦性能を与える。
e809aab5-d96e-4772-ba00-6d95ffbd9e87	T2ELongDescription-resources.assets-35228.json	ヴェノム工業のバレットは、パワフルながらコンパクトなスポーツカーである。ストイックなデザインと全速度域での安定性に加え、ドリフトのためにブレーキで姿勢を揺らせる特性をも備えている。
b84a41ae-2c58-41c9-a069-4e29cf232e2c	T2ExLongDescription-resources.assets-35229.json	ストレートにおいて並ぶもの無し、極限の加速をもたらすヴェノム工業のラプターだが、コーナーに向かうドライバーには刃の上を歩くような繊細なグリップコントロールを要求する。
ce04cb9d-b4bd-4f94-b4f7-6ed60b48396d	T2HLongDescription-resources.assets-35230.json	ヴェロックスのパフォーマンスカー、ジェット Z 880。レースのあらゆる局面に対応できるが、そのポテンシャルを最大限発揮するにはドライバーにも多彩な技術が必要である。
f9524ca2-d8ca-4a0f-8310-03429f0f3216	T2MLongDescription-resources.assets-35231.json	ヴェノム工業・ヴェントス。高い加速性能に加え、極限的かつアグレッシブな旋回を可能とする重量バランスを特徴とする異色のドリフトカーである。
ae746211-0a4f-4d91-8947-794f2d9ca4f6	T3ELongDescription-resources.assets-35232.json	ハイパフォーマンスカーでありながら、いささか風変わりなマシンであるHPE・ジェスター。レース以上にドリフトのため設計・チューニングされているものの、そのスピードは決して侮れない。
ad40fc09-9458-4d20-b4c7-041674c52ef0	T3ExLongDescription-resources.assets-35233.json	スピードとファインコントロールの両面に高いバランスを実現したテラのグラディオ。ドリフトにもレースにも活躍できる、このクラスでのベスト・オールラウンドな選択肢のひとつである。
b35f6696-3af6-4f83-b9fc-4b987c7ab3de	T3HLongDescription-resources.assets-35234.json	エンジンパワーの向上、車高のアップ、悪路でのグリップ力の増加。さまざまに強化されたコーダ・ゲッコーの戦闘力は舗装路よりもオフロードで高く評価されるだろう。
2f2d9c51-238e-45f6-a5d9-f30b64a771e9	T4ExLongDescription-resources.assets-35235.json	独特なクラスのヴェロックス・インパルス。レーシングカーと一般車の境界上に位置するこのマシンは、かつてないグリップとパフォーマンスによりコースを捉えて離さない。
caef7392-c015-4266-8721-5028a7531284	T5ELongDescription-resources.assets-35236.json	真のクラシック、コーダ・スプリーノ。現代の多くの評論家からは型落ちと見なされているが、全盛期には比肩しうるもののない存在であった。
acba62c8-2e70-40bf-8a7a-b9e0af7af8c7	ThrottleInputKeyboard-resources.assets-35237.json	スペースバー
7879cb0f-8d8f-4bb9-8e4d-feabb77589d7	ThrottleInputPC-resources.assets-35238.json	右トリガー
dc6807e6-a948-447f-9a2c-8504d5d04d9a	ThrottleInputPS-resources.assets-35239.json	R2
ef592540-df92-4314-944f-8bdeca49050e	ThrottleInputSwitch-resources.assets-35240.json	ZR
f5117483-862c-4592-b7da-63adc87c6e2d	ThrottleInputXbox-resources.assets-35241.json	RT
e1696397-95d4-41cd-9186-c69e0651f7a2	BlankTime2.5em-resources.assets-35242.json	<mspace=0.8em>--:--:--
551c2d8d-37e4-442e-b852-615657783bd1	BlankTime3em-resources.assets-35243.json	<mspace=0.8em>--:--:--
aef6836a-2b0a-4ab0-a33e-8d1e966c0512	HUD Lose-resources.assets-35244.json	lose
d62b2aeb-e3ce-4be7-9985-91b93b47e241	HUD Win-resources.assets-35245.json	win
5db02a2e-19de-46a7-bc2e-5bacc5af3d8d	difference-resources.assets-35246.json	距離
0223e9a5-6dac-4b23-8b0f-9c7e554a3c37	player-resources.assets-35247.json	プレイヤー
0761d636-5f6e-4228-829b-0eb7030f29a4	rival-resources.assets-35248.json	ライバル
bf88e375-c160-4676-83f1-f1e212731ba5	DefaultFormatString-resources.assets-35249.json	{0}
35bc98cf-653f-42a9-91e5-ef4a4d92bb6f	DistanceFormat2.5em-resources.assets-35250.json	<mspace=0.8em>{0}m
6587a768-543c-4ce0-9352-7692e33b750b	DistanceFormat3em-resources.assets-35251.json	<mspace=0.8em>{0}<size=27>m
070adc5e-1bc8-4b43-9691-9ab6b2b73fee	PositionFormatString-resources.assets-35252.json	{0}
3ee22783-cd1b-4987-97bc-e566c331c817	ScoreFormatString-resources.assets-35253.json	{0}
ded19afd-624a-4728-90af-4fac3f31fde0	TimeFormat2.5em-resources.assets-35254.json	<mspace=0.7em>{0}:{1}:{2}
999d5f85-6145-459f-b697-f05f0f572137	TimeFormat3em-resources.assets-35255.json	<mspace=0.8em>{0}:{1}:{2}
a738bb14-c6e1-48c9-821c-889bf3ef5b27	TimeFormatShort2.5em-resources.assets-35256.json	<mspace=0.8em>{0}:{1}
903735f3-656b-430e-9d5c-963c76fe375b	TimeFormatShortNegative2.5em-resources.assets-35257.json	<mspace=0.8em>-{0}:{1}
57827a7e-c06b-42fb-8e4a-98204e7fc2ee	TimeFormatShortPositive2.5em-resources.assets-35258.json	<mspace=0.8em>+{0}:{1}
190325e6-2545-4bb4-970a-10aeaecf20a9	DriftAngleMultiplier-resources.assets-35259.json	ドリフトアングル
9b97d42b-34bc-48ab-ad73-6ceb1f984463	MirroringMultiplier-resources.assets-35260.json	ミラーリング
395f6c9e-376e-4172-800f-c63801fab9be	ShadowingMultiplier-resources.assets-35261.json	シャドーイング
36953951-3743-4c56-915e-ce0db77fcb46	SpeedMultiplier-resources.assets-35262.json	スピード
689c9a6b-a932-4256-91e7-00a9d9558480	StyleHeading-resources.assets-35263.json	スタイル
df7c9a18-ee21-4efb-9115-92484046fc7f	TotalStyleHeading-resources.assets-35264.json	トータルスタイル
8945793b-d473-4650-8190-51ab8ad6144d	WallProximityMultiplier-resources.assets-35265.json	壁の近さ
5c0a2c84-cc3c-4650-aa02-73a2cdff698f	HUD BestLap-resources.assets-35266.json	ラップレコード
f1b890f6-87b4-464f-8f57-06771034e1d5	HUD Current Lap-resources.assets-35267.json	現在のラップ
68fa9be4-3d51-4e1e-b7ca-059b1c5f9752	HUD Ghost Target-resources.assets-35268.json	目標
3186b6c7-6ad4-4d7a-95b8-c5eeb241ff30	HUD Lap Count-resources.assets-35269.json	周回数
be3044b3-ef4a-4eb7-aa04-da577a12c105	HUD Lap Time-resources.assets-35270.json	ラップタイム
74345579-2fb3-47a8-b5a7-b85b01dea375	HUD New Record-resources.assets-35271.json	New record!
f8b9f47c-2786-4ba0-8d4f-4680f58d76eb	HUD PreviousLap-resources.assets-35272.json	前のラップ
efa95ef2-aa39-40bd-84ab-53c07954fd78	HUD RacePosition-resources.assets-35273.json	ポジション
02c32de8-63f9-47ce-a12c-7320bc4b118b	HUD StyleTarget-resources.assets-35274.json	スタイルターゲット
325a8537-e7c8-4ca9-b8fb-8dc88b1bff0e	HUD Target Time-resources.assets-35275.json	目標時間
667dd27e-bf89-4447-8399-8d9c67880a62	HUD TotalTime-resources.assets-35276.json	合計時間
b2259318-3c9a-454e-9913-5ca0cdeceb44	HUD distance-resources.assets-35277.json	距離
a2efb7a9-075f-400f-980d-83242cc87b57	HUD target distance-resources.assets-35278.json	目標距離
e7f3f16a-7fd4-4c74-8057-6aead61001f3	HUD time extended-resources.assets-35279.json	time extended
32ca8ca9-19f4-446f-8a2b-657c09b6c8ec	HUD time remaining-resources.assets-35280.json	残り時間
4f7b196f-abd8-40bb-b023-206cee9b5c5c	Duel-resources.assets-35281.json	デュエル
87180e71-894e-4b14-88ef-ae0339a4fe78	DuelDescription2-resources.assets-35282.json	真っ向勝負で対戦相手を引き離し、ポイントを稼ごう。 1000ポイントを獲得した時点で勝利となる。
c48ddd27-c8bf-4f15-aeea-c2525692e45c	Endurance-resources.assets-35283.json	耐久
f6e09dab-6a83-42bd-b5e7-9967a1e7c0bf	EnduranceDescription-resources.assets-35284.json	時間切れまで走り続けよう。チェックポイントに辿り着くと残り時間が増える。できなければ終了だ。
1657ea1a-85e9-454a-9ebf-b778c26c3c60	Ghost Battle-resources.assets-35285.json	ゴーストバトル
d91fafa6-91a6-4852-8304-f4e69394f533	GhostBattleDescription-resources.assets-35286.json	相手のゴーストタイムとレースし、スキルを試そう。他のレーサーのテクニックを学ぶ絶好の機会だ。
eac41275-3b3d-4add-a663-e233ae455591	Goal-Opponent-resources.assets-35287.json	対戦相手
